pair_id	bsa_a_norm_surface	bsa_b_norm_surface
a0a087wpy7_q571c7	0.157299742526105	0.00569061073024976
a0a087wrm3_f8wis9	0.0123161065219336	0.0333507251289253
a0a087wrm3_q3uz64	0.010637879104166	0.0279569051926847
a0a0a0mq86_q91xy7	0.00885886737422021	0.00289474736435245
a0a0a0mqa2_o08911	0.00834592288922625	0.0448390793620476
a0a0a0mqa2_p15066	0.014020380944186	0.0562334852372382
a0a0a0mqa2_q8k3c0	0.00358873024750923	0.0326084043848964
a0a0a6yvp0_q9cpv9	0.0335111260545299	0.0349782438725907
a0a0b4j1e6_a0a0b4j1e6	0.0137943915211524	0.00516960617760618
a0a0b4j1g6_q8bg71	0.0533792550854248	0.0247667280540209
a0a0g2jg53_q71fd5	0.356178571428571	0.0216466124968149
a0a0g2jg53_q9jln9	0.233337301587302	0
a0a0g2jgs4_p14142	0.0164227969541444	0.0194849272285864
a0a0g2jgs4_p61014	0.00138159292431205	0.012959238836631
a0a0g2jgs4_p61620	0.033238849194369	0.0398029052281308
a0a0g2jgs4_p70313	0.0158626010533025	0.00651645951585723
a0a0g2jgs4_q8bgr3	0.00951013607952322	0.010892909547931
a0a0g2jgs4_q8k4q7	0.0137979269397202	0.0138925541941565
a0a0g2jgs4_q9bcz4	0.024055438149229	0.0737868607689436
a0a0g2jgs4_q9est8	0.0145343441458969	0.0129540057189938
a0a0g2jgx4_o88958	0.00309529625874852	0.013047026736642
a0a0n4suz0_p48030	0.00842265949327029	0.0865586727706695
a0a0n4svk8_p03930	0.00434688984999786	0.127923920612813
a0a0n4svk8_q9cpv9	0.00873733461029335	0.058814291056192
a0a0r4izw5_q61188	0.022263906145957	0.0263916812726458
a0a0r4j003_p58006	0.0555509617742896	0.0178365321688224
a0a0r4j003_q8bgd6	0.0918002172313514	0.0254457343700075
a0a0r4j003_q9jln9	0.0862194737395326	0
a0a0r4j066_o35435	0.0399008095689592	0.0290728662380723
a0a0r4j066_q60932	0.0103260156079061	0.00896839945877526
a0a0r4j066_q9cpx8	0.0107699414095738	0.0478527861056549
a0a0r4j075_q7ts72	0.0250683817017157	0.0227491064659374
a0a0r4j096_p42227	0.0275399085835037	0.0190593889983193
a0a0r4j097_q9z2s7	0.0110500927377033	0.0521300269286539
a0a0r4j0a9_a0a0r4j0a9	0.0274124807921124	0.0429520215374261
a0a0r4j0a9_q7ts72	0.011072771735556	0.0398643452832232
a0a0r4j0g9_a0a0r4j0g9	0.0272877431839386	0.117784568630761
a0a0r4j0h9_p17047	0.0225400024579083	0.0133468371585987
a0a0r4j0m9_q9cpx8	0.00583043578342884	0.124940556187326
a0a0r4j174_q9quk6	0.0134413250830879	0.00682033096926714
a0a0r4j1c8_p14434	0.017535666747905	0.0227600077075004
a0a0r4j1k0_a0a0r4j1k0	0.00835367871456411	0.0109256233013781
a0a0r4j1k0_p16054	0.00905344952261892	0.0103849696076626
a0a0r4j1k0_q8cfi0	0.00397507077986543	0.00596779493920473
a0a0r4j1r1_q52kf3	0.0608352207813032	0.0458725834379121
a0a0r4j285_q9eqg9	0.0367637741271759	0.0207736514680222
a0a0u1rpk5_o55028	0.0128308920733964	0.0157900485785737
a0a0u1rpk5_q8bxn7	0.0138595262016816	0.0171246965422216
a0a0u1rpt6_q3tdd9	0.0101612848718339	0.00879156602027225
a0a140lhz9_g3uyl9	0.0214770897170954	0.0470613139413259
a0a140t8p3_p97305	0.0843911875335841	0.0108755202421491
a0a140t8p3_q923b6	0.0215391984671883	0.00529920901670415
a0a140t8p3_q9est8	0.090951101558302	0.0146702237024324
a0a140t8p3_q9z172	0.036631918323482	0.0361266504985179
a0a140t8s1_q01063	0.0213018166756791	0.0739308425778207
a0a1b0gr71_p08505	0.0160235421862136	0.0726287641928583
a0a1b0grh0_q60929	0.013591495128562	0.0367071744546703
a0a1b0gsq5_p97414	0.0114548995189608	0.0220634507048581
a0a1d5rme2_g3uyl9	0.0190574167432389	0.0254951769022596
a0a1l1sqg7_q91v77	0	0.119820516096065
a0a1w2p6x3_o70138	0.00693811878210449	0.0207730854563538
a0a1w2p6x3_q00560	0.0107173361242436	0.0179124676832164
a0a1w2p6x3_q80uf7	0.0210776883563704	0.0327333019956412
a0a1y7vmp7_q99mt2	0.019744922451447	0.0497750891014819
a0a1y7vnz6_q64729	0.0161885890041135	0.0265963833893217
a0a1y7vp50_p05017	0.0136886567464983	0.0319686635226254
a0a1y7vp50_q60751	0.0242354976319237	0.00574613120443468
a0a1y7vp50_q61033	0.0169969097443821	0.00868972261735419
a0a286ycx6_p51637	0.00208145013943648	0.0129215313603041
a0a286ycx6_q3unn8	0.00734613905183191	0.0146309629483512
a0a286ycx6_q6ns57	0.0156109962496394	0.00696101996028843
a0a2i3bqz9_a0a0r4j0i9	0.105234969724902	0.025884156481879
a0a2r8vhr8_p20029	0.136722649505572	0.00714826829852727
a0a2r8vhr8_p42227	0.157600062784492	0.00724144224992205
a0a2r8vhr8_q8bjw6	0.236225082404646	0.0126333914241289
a0a2r8vhr8_q8k4k2	0.236214095118506	0.0211654747817736
a0a2r8vhr8_q9eqy0	0.245124784178308	0.00819770957398076
a0a2r8vhr8_q9jhi8	0.173823575576833	0.00947994943109987
a0a2r8vk23_a0a5f8mpy3	0.0163255296525528	0.0210733924296651
a0a2r8vk23_h7bx23	0.0105787917714089	0.0271007792893937
a0a2r8vk23_o09130	0.0107633634704151	0.0348954351579911
a0a2r8vk23_p00397	0.00685656511023288	0.013465695796737
a0a2r8vk23_p28700	0.0143153391804599	0.0325972276709821
a0a2r8vk23_p70313	0.0119639092568577	0.0121633114927634
a0a2r8vk23_q3tbl6	0.00562092427213109	0.0583432887255184
a0a2r8vk23_q5bkr2	0.00179796067633266	0.0035693375995643
a0a2r8vk23_q8bw70	0.0231817874505996	0.0333313943028486
a0a2r8vk23_q8ve70	0.00792933048967124	0.0560080764571275
a0a2r8vk70_a0a0r4j088	0.0186669199354165	0.0221158147289659
a0a2r8vk70_a0a1d5rmm8	0.0325738436698642	0.0104981538110162
a0a2r8vk70_f8wip8	0.0113043973786684	0.0130931788341704
a0a2r8vk70_g3uyl9	0.0176123088612404	0.0150737992063887
a0a2r8vk70_p33434	0.0026346281698167	0.00124526268686703
a0a2r8vk70_p38647	0.0138039699876531	0.00665667125670387
a0a2r8vk70_q62009	0.0371112166397569	0.0128222861806779
a0a2r8vk70_q62523	0.0466418463291861	0.0237218665655462
a0a2r8vk70_q8r0f6	0.0127125083103809	0.0117070814112953
a0a2z4msg2_q9qys1	0.0146885237702253	0.0421388410786001
a0a3b2wcz2_q1a3b0	0.0039891569987921	0.00833951748918384
a0a494bax0_q9z1e3	0.0213892540256326	0.070435240906129
a0a5f8mpw1_p40753	0.0137390023642494	0.0636662501201577
a0a5f8mpw1_q3u0d9	0.0265768768652378	0.0123804605263158
a0a5f8mpw1_q61391	0.0361544126196659	0.0192681168505517
a0a5f8mpy3_f8wip8	0.0166136735322699	0.078141425088052
a0a5f8mpy3_q99p51	0.0252131378730061	0.100075645617814
a0a5f8mq53_o35084	0.0297114939798202	0.0541001835387219
a0a5h1zrl1_q4u4s6	0.151204349414624	0.0571259425070688
a0a6i8mx38_q60989	0.106101865198969	0.0251336217255468
a0a803z7f8_q9z315	0.00657592242733253	0.00633059395390252
a0a991b922_q71fd5	0.0123942558053032	0.0274929928371224
a0a991b922_q811w0	0.00713082522982093	0.0112344584664909
a0a9l6ke70_a0a9l6ke70	0.289223798512593	0.018744961324763
a0a9l6ke70_e9q401	0.238793825385913	0.00165308108947372
a0a9l6ke70_o08934	0.0176267108305731	0.00665381592244638
a0a9l6ke70_o55143	0.0719161302418599	0.0122803918224128
a0a9l6ke70_o70507	0.03638272607962	0.00601414251014142
a0a9l6ke70_q99246	0.0846350228110743	0.00600998721873792
a0zvb6_o35261_2	0.0161066884682405	0.0980839841074119
a0zvb6_o35261	0.0187345737951448	0.106883408686121
a2a432_p61963	0.0151916506480751	0.0406925587694017
a2a432_q8veh6	0.016215133200364	0.045593419506463
a2a432_q923e4	0.0115324820883021	0.0163637807783955
a2a5s3_q571b6	0.0343540012403176	0.0211553489069706
a2a5y6_p04925	0.00146931407942238	0.00424144703343598
a2a5y6_q571b6	0.0181554925219185	0.0149245940980164
a2a5z6_a0a0r4j097	0.0317968463798842	0.0308293194921712
a2a5z6_o88393	0.0297079432878399	0.027421650373778
a2a6m5_q60795	0.0400431688644565	0.0258614446925351
a2a6m5_q8k3k8	0.119301878520117	0.0743229682118681
a2a6m5_q91vr7	0.0226282418805437	0.0572754561230712
a2a7a1_a0a1d5rm15	0.0321069523317846	0.0504048082487243
a2a7a1_p22725	0.00919858888315264	0.0148950595821348
a2a7a1_q8c878	0.0231704525899157	0.0330477697505804
a2a7a1_q8vhj7	0.132148339356393	0.092821565374387
a2a7a1_q9z172	0.00953682670796765	0.06308434384263
a2a8l1_q8vhr5	0.00891988858716194	0.102687752656063
a2a935_p04202	0.0092070489953962	0.0260572863865394
a2adh1_p60761	0	0
a2adh1_q8bmw7	0.0264318441232738	0.0238823022523326
a2af73_q8cfh6	0.0412696678321678	0.0300003864858772
a2afk4_q9z1e3	0.0247890822617046	0.0305881789259841
a2ah22_o88597	0.0211922463024889	0.0506751246623727
a2ah22_q91vr7	0.0121320240573395	0.0897317199005675
a2ah22_q99mq3	0.00510368810424038	0.014666976194496
a2aiv8_q2tba3	0.00540336535909549	0.00411246358418183
a2aiv8_q3tta7	0.0365679706990817	0.0212371318206741
a2aiv8_q80v85_2	0.00817792876479643	0.00828460495501048
a2aiv8_q80v85	0.014846010934763	0.0159640083816098
a2aiv8_q8k3z0	0.0277786506714794	0.015199805798474
a2aiv8_q8r5h1_2	0.027449015340517	0.0136305560554256
a2aiv8_q8r5h1	0.027449015340517	0.0136305560554256
a2aiv8_q9cub6	0.0143424810234089	0.0177324266166409
a2aiv8_q9est8	0.0166712670523913	0.0137083313139146
a2ajk6_p27577	0.0137455509551827	0.194566257289511
a2ajx4_q80w65	0.0115265509464991	0.0305198724722824
a2ajx4_q8blg2	0.00682537379307009	0.0203112884103944
a2ajx4_q8c142	0.0108894854261513	0.105106910321223
a2amm0_p54763	0.0325024723181428	0.0113867197062423
a2amm0_q7tpw1	0.0181828056352642	0.0091199446622089
a2amt1_a0a0r4j066	0.00506972624653176	0.0123686577687015
a2ap83_a2ara8	0.0177918432958685	0.0144835374911721
a2ap83_q62009	0.00941890613049171	0.0108702407033521
a2aq92_q8ve49	0.00645005759616184	0.0367130135636344
a2ara8_q64727	0.0129536322236563	0.0138409125475285
a2ara8_q91v88	0.0213884762438205	0.0397586252131707
a2arp9_a2rtf1	0.0127777723320623	0.00196191646917681
a2arv4_p07309	0	0.00799059829059829
a2arv4_q62226	0.00249523670385994	0.0529500070018205
a2as89_q9z0j4	0.0203007979281865	0.00535982749482003
a2asq1_p46938	0.0125145223959068	0.0511637758978123
a2asq1_q9eqm6	0.0152152331507803	0.032201228116423
a2auy4_q9d832	0.00550146317127926	0.0592542444972176
a2ava0_q06806	0.000692907905341051	0.0237713749714589
a2bim8_o35679	0.0185654838709677	0.0390557467309016
a2cg49_p63001	0.00204370448659133	0.0749683967992029
a2rry9_q9d883	0.0136838606373397	0.0447463889821968
a3kgf7_p27870	0.00796742435895919	0.0133397464761827
a3kn90_a0a0a0mqj8	0.0111096729385023	0.0329168293635299
a3kn90_p05480	0.0169274529612325	0.024368089353399
a4qpc6_q8r5a0	0.0225281518591718	0.0263403612426315
a4uui3_p01580	0.00737702179783414	0.0292184234099731
a6h611_p03888	0.0011204335774275	0.00255742783033832
a9z1v5_p27548	0.0010331832868128	0.0459528304032386
a9z1v5_q9z1p8	0.00458739242763869	0.0169949825640422
b0lae7_c3vpr6	0.594950385887541	0.00245241740094743
b0lae7_o70551	0.56481256890849	0.00677664904872262
b0lae7_o89090	0.266868798235943	0.00331151168303984
b0lae7_p20263	0.270562293274531	0.00757195857436745
b0lae7_p42227	0.425859977949283	0.00500346036550586
b0lae7_q60795	0.242728776185226	0.00390099169231388
b0lae7_q60929	0.186229327453142	0.00295359074330273
b0lae7_q61037	0.331251378169791	0.00266970567248324
b0lae7_q64318	0.350981256890849	0.00215015866169629
b0lae7_q811u4	0.189250275633958	0.00219085474383226
b0lae7_q8r4b8	0.314619625137817	0.00255216609028881
b0lae7_q91z31	0.512519294377067	0.0087772895305852
b0lae7_q9cqg2	0.810523704520397	0.0101707043157388
b0lae7_q9jln9	0.335595369349504	0
b0lae7_q9quk6	0.335468577728776	0.00373381740403017
b1ar17_q8vhr5	0.0106491907211332	0.103063257968188
b1asp2_q3v157	0.0154309178185183	0.0217073932147568
b1asp2_q8ci19	0.00535631253253138	0.017989446366782
b1au25_o08529	0.0142580306381088	0.013224639814293
b1aue5_q9wv60	0.0410708729009067	0.0312570109797888
b1auh1_q9r0p9	0.00255470710287589	0.0359188062911682
b1ayl1_q0kl02	0.010939963436069	0.00931837073981713
b2rpy5_p56726	0.0121389476026254	0.00829770734478893
b2rpy5_q99k82	0.0338824118366893	0.0276822888283379
b2rr83_p59326	0.00886998675718917	0.0196597225310152
b2rr83_q91yt7	0.0261691124919854	0.072232410930099
b2rsh2_p52194	0.0199831148192292	0.0116468656803412
b2rsh2_q8vi38	0.0422078201562707	0.0379451394773132
