"from","to"
"Cyb5r3","Cyb5b"
"Pdha1","Aldh2"
"Isca2","Tnnc1"
"Mapk14","Smad2"
"Ctnnb1","Smad2"
"Tgfb1","Smad2"
"Capn2","Ezr"
"Prdx1","Prdx2"
"Bax","Prdx2"
"Mapk14","Foxo1"
"Akt1","Foxo1"
"Prkaa1","Foxo1"
"Fth1","Foxo1"
"Ogt","Foxo1"
"Stat3","Foxo1"
"Ppia","Bsg"
"Itgb2","Bsg"
"Hspa14","Snca"
"Alox5","Alox5ap"
"Bckdha","Alox5ap"
"Rap1a","Ralgds"
"Akt1","Cav1"
"Akt1","Anxa1"
"Stat3","Anxa1"
"Stat3","Ecscr"
"Gnas","Gtpbp8"
"Hdac2","Hdac1"
"Stat3","Hdac1"
"Sdha","Hdac1"
"Npr3","Anp32e"
"Prkg1","Anp32e"
"Tgfb1","Lrg1"
"Atp2a2","Piezo1"
"Isca2","Piezo1"
"Camk2a","Myd88"
"Stat3","Lcat"
"Ogt","Cox10"
"Stat3","Ppif"
"Akt1","Sirt2"
"Foxo1","Sirt2"
"Prdx1","Mpst"
"Bckdha","Impa2"
"Prkg1","Impa2"
"Itgb2","Itgb1"
"Tgfb1","Itgb1"
"Stat3","Itgb1"
"Hspa9","Itgb1"
"Itga5","Itgb1"
"Adam10","Itgb1"
"Tgfb1","Lmna"
"Pdia3","Ncf1"
"Abcc9","Kcnj11"
"Prkaa1","Kcnj11"
"Akt1","Ddt"
"Tgfb1","Ddt"
"Smad2","Ddt"
"Fkbp1a","Hras"
"Prkaa1","Hras"
"Smad2","Hras"
"Prkaa1","Tigar"
"Piezo1","Comp"
"Itgb2","Itgav"
"Tgfb1","Itgav"
"Tgfb1","Corin"
"Adam10","Corin"
"Mapk14","Hmox1"
"Akt1","Hmox1"
"Isca2","Dlst"
"Pdha1","Dlst"
"Ptgis","Plcg2"
"Mtm1","Bin1"
"Atp2a2","Bin1"
"Bckdha","Ptgs1"
"Akt1","Ptgs1"
"Ppia","Orai1"
"Akt1","Pgk1"
"Mapk14","Hdac6"
"Hsp90aa1","Hdac6"
"Akt1","Ahsa1"
"Tgfb1","Ahsa1"
"Foxo1","Ahsa1"
"Anxa1","Ahsa1"
"Lrg1","Ahsa1"
"Hmox1","Ahsa1"
"Hsp90aa1","Cd63"
"Ctsd","Cd63"
"Ctnnb1","Pecam1"
"Ptpn6","Pecam1"
"Piezo1","Pecam1"
"Hspa14","Thop1"
"Prkaa1","Chrac1"
"Actr2","Chrac1"
"Mdh2","Chrac1"
"Gtpbp8","Chrac1"
"Itgb1","Chrac1"
"Ctnnb1","Jup"
"Mapk14","Nfkb1"
"Mmp2","Nfkb1"
"Stat3","Nfkb1"
"Hsp90aa1","Fkbp4"
"Mapk14","Rela"
"Dnajb4","Rela"
"Mmp2","Rela"
"Ankrd1","Rela"
"Stat3","Rela"
"Anp32e","Rela"
"Myd88","Rela"
"Nfkb1","Rela"
"Fkbp4","Rela"
"Aldh2","Oxnad1"
"Ctnnb1","Ctnna1"
"Arf6","Plxnd1"
"Akt1","Keap1"
"Prkaa1","Keap1"
"Prkaa1","Acaca"
"Ccnd1","Actn4"
"Actb","Actn4"
"Hspa9","Actn4"
"Cd63","Pdcd6ip"
"Akt1","Prmt5"
"Prkaa1","Fndc5"
"Tgfb1","Fndc5"
"Rela","Setd7"
"Hdac2","Hopx"
"Smad2","Hopx"
"Mmp2","Aspn"
"Ctnnb1","Aspn"
"Capn2","Aifm1"
