"from","to"
"Ndufs4","Ndufa10"
"Ndufs2","Ndufa10"
"Ndufb8","Ndufa10"
"Ndufb7","Ndufa10"
"Snca","Ndufs1"
"Ndufs4","Ndufs1"
"Ndufs2","Ndufs1"
"Ndufb7","Ndufs1"
"Ndufa10","Ndufs1"
"Snca","Ndufs7"
"Ndufs4","Ndufs7"
"Ndufs2","Ndufs7"
"Ndufb7","Ndufs7"
"Ndufa10","Ndufs7"
"Ndufs1","Ndufs7"
"Snca","Ndufc2"
"Ndufs4","Ndufc2"
"Ndufs2","Ndufc2"
"Ndufb7","Ndufc2"
"Ndufa10","Ndufc2"
"Ndufs1","Ndufc2"
"Ndufs7","Ndufc2"
"Bin1","Ndufv2"
"Snca","Ndufv2"
"Ndufs4","Ndufv2"
"Ndufs2","Ndufv2"
"Ndufb7","Ndufv2"
"Ndufa10","Ndufv2"
"Ndufs1","Ndufv2"
"Ndufs7","Ndufv2"
"Ndufc2","Ndufv2"
"Snca","Ndufb5"
"Ndufb7","Ndufb5"
"Ndufa10","Ndufb5"
"Ndufs1","Ndufb5"
"Ndufc2","Ndufb5"
"Ndufv2","Ndufb5"
"Atg16l1","Cyc1"
"Rb1cc1","Cyc1"
"Snca","Cyc1"
"Gnao1","Cyc1"
"Ndufs4","Cyc1"
"Ndufs2","Cyc1"
"Ndufb7","Cyc1"
"Ndufa10","Cyc1"
"Ndufs1","Cyc1"
"Ndufs7","Cyc1"
"Ndufc2","Cyc1"
"Ndufv2","Cyc1"
"Ndufb5","Cyc1"
"Atg16l1","Prmt5"
"Atg16l1","Hnrnpd"
"Map3k7","Hnrnpd"
"Actb","Hnrnpd"
"Sin3a","Hnrnpd"
"Ndufs4","Hnrnpd"
"Prmt5","Hnrnpd"
"Hnrnpd","Cers2"
"Hdac1","Nfkb1"
"Hdac6","Nfkb1"
"Ctnnb1","Rela"
"Hdac1","Rela"
"Hdac6","Rela"
"Cers2","Rela"
"Nfkb1","Rela"
"Atg16l1","Ruvbl1"
"Actb","Ruvbl1"
"Ndufb5","Ruvbl1"
"Atg16l1","Mta2"
"Hdac2","Mta2"
"Hdac1","Mta2"
"Mapk14","Mta2"
"Hdac2","Pml"
"Mapk14","Pml"
"Atg16l1","Ogt"
"Atg16l1","Asf1a"
"Hnrnpd","Asf1a"
"Actb","Emd"
"Myh9","Emd"
"Cdk4","Pcna"
"Abl1","Crk"
"Bin1","Crk"
"Bcar1","Crk"
"Mapk1","Map2k1"
"Map3k7","Myd88"
"Prmt5","Myd88"
"Rac1","Pcbp1"
"Actb","Pcbp1"
"Dynll1","Pcbp1"
"Mapk1","Prkcd"
"Myd88","Irak4"
"Bin1","Pcmt1"
"Atg16l1","Actn4"
"Actb","Actn4"
"Myh9","Actn4"
"Myh10","Actn4"
"Myh9","Actn1"
"Ctnnb1","Actn1"
"Actn4","Actn1"
"Atg16l1","Hsp90aa1"
"Cdk4","Hsp90aa1"
"Fkbp4","Hsp90aa1"
"Gnao1","Hsp90aa1"
"Prkcd","Hsp90aa1"
"Ctnnb1","Ctnna1"
"Actn1","Ctnna1"
"Ctnnb1","Ctnnd1"
"Inpp5d","Ctnnd1"
"Ctnna1","Ctnnd1"
"Slc2a4","Kif5b"
"Myh9","Lmna"
"Hdac2","Lmna"
"Emd","Lmna"
"Atg16l1","Hsp90b1"
"Pdia6","Hsp90b1"
"Lmna","Hsp90b1"
"Lmna","Anxa3"
"Actb","Cnn3"
"Bin1","Cnn3"
"Emd","Cnn3"
"Lmna","Cnn3"
"Ripk1","Casp8"
"Atg16l1","Cdk9"
"Actb","Cdk9"
"Rb1","Cdk9"
"Ndufs2","Ldhb"
"Ndufa10","Ldhb"
"Ndufs1","Ldhb"
"Ndufv2","Ldhb"
"Rac1","Iqgap1"
"Actb","Iqgap1"
"Myh9","Iqgap1"
"Map2k1","Iqgap1"
"Pcbp1","Iqgap1"
"Actn4","Iqgap1"
"Rb1cc1","Nedd4"
"Snca","Nedd4"
"Gnb2","Pten"
"Smurf2","Pten"
"Actb","Pten"
"Myh9","Pten"
"Ctnnb1","Pten"
"Prdx5","Pten"
"Bin1","Pten"
"Eef1a1","Pten"
"Cfl1","Pten"
"Actr1a","Pten"
"Phb2","Pten"
"Ndufs1","Pten"
"Hnrnpd","Pten"
"Pcna","Pten"
"Agrn","Pten"
"Pcbp1","Pten"
"Pdia6","Pten"
"Hsp90aa1","Pten"
"Lmna","Pten"
"Hsp90b1","Pten"
"Nedd4","Pten"
"Ctcf","Ddx21"
"Pten","Ddx21"
"Bin1","Mrps35"
"Ogt","Nup214"
"Atg16l1","Ppp1r12a"
"Actb","Ppp1r12a"
"Myh9","Ppp1r12a"
"Bin1","Ppp1r12a"
"Myh10","Ppp1r12a"
"Rb1cc1","Ppp1r12a"
"Ruvbl1","Prpf8"
"Dynll1","Dync1li2"
"Bin1","Arap1"
"Actb","Gnas"
"Myh9","Pacsin3"
"Myh10","Pacsin3"
"Actb","Svil"
"Myh9","Svil"
"Myh10","Svil"
"Eef1a1","Svil"
"Phb2","Aifm1"
"Bin1","Acaca"
"Cdk4","Cdkn1b"
"Ccnd1","Cdkn1b"
"Pten","Acadvl"
"Rb1cc1","Tax1bp1"
"Ripk1","Tax1bp1"
"Bin1","Ptk2b"
"Prkcd","Ptk2b"
"Pten","Ptk2b"
"Ctnna1","Sdcbp"
"Pten","Sdcbp"
"Hnrnpd","Tnnc1"
"Tnnc1","Tnni3"
"Myh9","Hmgb2"
"Ctnnb1","Hmgb2"
"Rras2","Sod1"
"Rac1","Sod1"
"Pten","Sod1"
"Actb","Cttn"
"Bin1","Cttn"
"Mapk1","Cttn"
"Myh10","Cttn"
"Rb1cc1","Cttn"
"Cdk4","Ccnd2"
"Cdkn1b","Ccnd2"
"Atg16l1","Acat1"
"Bin1","Acat1"
"Gnao1","Acat1"
"Pten","Acat1"
"Smurf2","Setd7"
"Ppp1r12a","Setd7"
"Map3k5","Park7"
"Hspa9","Park7"
"Ndufs4","Park7"
"Ndufb7","Park7"
"Ndufa10","Park7"
"Ndufs7","Park7"
"Ndufv2","Park7"
"Ndufb5","Park7"
"Sod1","Park7"
"Gnao1","Atp1a1"
"Cnn3","Cnn2"
"Pten","Col18a1"
"Rb1cc1","Ehd4"
"Atg16l1","Hspd1"
"Hras","Hspd1"
"Prdx5","Hspd1"
"Gnb1","Hspd1"
"Hspa9","Hspd1"
"Gnao1","Hspd1"
"Pten","Hspd1"
"Gnao1","Idh3g"
"Ndufs2","Idh3g"
"Ndufb7","Idh3g"
"Ndufa10","Idh3g"
"Ndufs1","Idh3g"
"Ndufs7","Idh3g"
"Ndufv2","Idh3g"
"Cyc1","Idh3g"
"Idh3b","Idh3g"
"Mapk14","Dlg1"
"Ctnna1","Dlg1"
"Pten","Dlg1"
"Aifm1","Sharpin"
"Mapk14","Cav1"
"Snca","Cav1"
"Pten","Cav1"
"Atg16l1","Mcm3"
"Keap1","Mcm3"
"Mapk14","Mcm3"
"Ogt","Mcm3"
"Atg16l1","Atg3"
"Casp8","Apaf1"
"Hnrnpd","Bax"
"Bak1","Bax"
"Park7","Bax"
"Myh9","Tubb2a"
"Ap2m1","Tubb2a"
"Gnao1","Tubb2a"
"Bin1","Asap1"
"Dnm1","Asap1"
"Ptk2b","Asap1"
